PlaylistID,UserID,Name,Description
1,1,Workout Playlist,A playlist for workout sessions
2,2,Road Trip Mix,A collection of songs for long drives
3,3,Chill Vibes,Relaxing tunes for unwinding
4,4,Study Beats,Background music for studying
5,5,Throwback Hits,Nostalgic songs from the past
6,6,Party Mix,Get the party started with these tracks
7,7,Sleep Sounds,Soothing melodies for a good night's sleep
8,8,Romantic Evening,Music for a romantic date night
9,9,Favorite Tracks,Personal favorites of the user
10,10,Focus Playlist,Music to enhance concentration and focus
